nohup: ignoring input
Files already downloaded and verified
[2023-04-03 21:32:43] [INFO] epoch: 01 / 50
[2023-04-03 21:32:45] [INFO] batch:10/391 lossAver:2.302900
[2023-04-03 21:32:46] [INFO] batch:20/391 lossAver:2.302847
[2023-04-03 21:32:47] [INFO] batch:30/391 lossAver:2.302678
[2023-04-03 21:32:48] [INFO] batch:40/391 lossAver:2.302632
[2023-04-03 21:32:49] [INFO] batch:50/391 lossAver:2.302620
[2023-04-03 21:32:50] [INFO] batch:60/391 lossAver:2.302644
[2023-04-03 21:32:51] [INFO] batch:70/391 lossAver:2.302592
[2023-04-03 21:32:52] [INFO] batch:80/391 lossAver:2.302634
[2023-04-03 21:32:53] [INFO] batch:90/391 lossAver:2.302581
[2023-04-03 21:32:54] [INFO] batch:100/391 lossAver:2.302543
[2023-04-03 21:32:55] [INFO] batch:110/391 lossAver:2.302557
[2023-04-03 21:32:56] [INFO] batch:120/391 lossAver:2.302557
[2023-04-03 21:32:57] [INFO] batch:130/391 lossAver:2.302594
[2023-04-03 21:32:58] [INFO] batch:140/391 lossAver:2.302608
[2023-04-03 21:32:59] [INFO] batch:150/391 lossAver:2.302607
[2023-04-03 21:33:00] [INFO] batch:160/391 lossAver:2.302589
[2023-04-03 21:33:01] [INFO] batch:170/391 lossAver:2.302598
[2023-04-03 21:33:02] [INFO] batch:180/391 lossAver:2.302596
[2023-04-03 21:33:03] [INFO] batch:190/391 lossAver:2.302598
[2023-04-03 21:33:04] [INFO] batch:200/391 lossAver:2.302595
[2023-04-03 21:33:05] [INFO] batch:210/391 lossAver:2.302583
[2023-04-03 21:33:06] [INFO] batch:220/391 lossAver:2.302565
[2023-04-03 21:33:07] [INFO] batch:230/391 lossAver:2.302558
[2023-04-03 21:33:08] [INFO] batch:240/391 lossAver:2.302555
[2023-04-03 21:33:09] [INFO] batch:250/391 lossAver:2.302548
[2023-04-03 21:33:10] [INFO] batch:260/391 lossAver:2.302538
[2023-04-03 21:33:11] [INFO] batch:270/391 lossAver:2.302546
[2023-04-03 21:33:12] [INFO] batch:280/391 lossAver:2.302536
[2023-04-03 21:33:13] [INFO] batch:290/391 lossAver:2.302535
[2023-04-03 21:33:14] [INFO] batch:300/391 lossAver:2.302532
[2023-04-03 21:33:15] [INFO] batch:310/391 lossAver:2.302525
[2023-04-03 21:33:16] [INFO] batch:320/391 lossAver:2.302516
[2023-04-03 21:33:17] [INFO] batch:330/391 lossAver:2.302501
[2023-04-03 21:33:18] [INFO] batch:340/391 lossAver:2.302487
[2023-04-03 21:33:19] [INFO] batch:350/391 lossAver:2.302468
[2023-04-03 21:33:20] [INFO] batch:360/391 lossAver:2.302462
[2023-04-03 21:33:21] [INFO] batch:370/391 lossAver:2.302454
[2023-04-03 21:33:22] [INFO] batch:380/391 lossAver:2.302442
[2023-04-03 21:33:23] [INFO] batch:390/391 lossAver:2.302421
[2023-04-03 21:33:23] [INFO] lossList:[2.302417268533536]
[2023-04-03 21:33:29] [INFO] testAcc:[0.1042]
[2023-04-03 21:33:29] [INFO] epoch: 02 / 50
[2023-04-03 21:33:30] [INFO] batch:10/391 lossAver:2.300875
[2023-04-03 21:33:31] [INFO] batch:20/391 lossAver:2.300859
[2023-04-03 21:33:32] [INFO] batch:30/391 lossAver:2.301283
[2023-04-03 21:33:33] [INFO] batch:40/391 lossAver:2.301098
[2023-04-03 21:33:34] [INFO] batch:50/391 lossAver:2.301055
[2023-04-03 21:33:35] [INFO] batch:60/391 lossAver:2.301115
[2023-04-03 21:33:36] [INFO] batch:70/391 lossAver:2.300947
[2023-04-03 21:33:37] [INFO] batch:80/391 lossAver:2.300898
[2023-04-03 21:33:38] [INFO] batch:90/391 lossAver:2.300832
[2023-04-03 21:33:39] [INFO] batch:100/391 lossAver:2.300638
[2023-04-03 21:33:40] [INFO] batch:110/391 lossAver:2.300339
[2023-04-03 21:33:41] [INFO] batch:120/391 lossAver:2.300249
[2023-04-03 21:33:42] [INFO] batch:130/391 lossAver:2.299956
[2023-04-03 21:33:43] [INFO] batch:140/391 lossAver:2.299519
[2023-04-03 21:33:44] [INFO] batch:150/391 lossAver:2.299301
[2023-04-03 21:33:45] [INFO] batch:160/391 lossAver:2.298767
[2023-04-03 21:33:46] [INFO] batch:170/391 lossAver:2.297822
[2023-04-03 21:33:47] [INFO] batch:180/391 lossAver:2.296719
[2023-04-03 21:33:48] [INFO] batch:190/391 lossAver:2.294716
[2023-04-03 21:33:49] [INFO] batch:200/391 lossAver:2.291579
[2023-04-03 21:33:50] [INFO] batch:210/391 lossAver:2.286753
[2023-04-03 21:33:51] [INFO] batch:220/391 lossAver:2.281906
[2023-04-03 21:33:52] [INFO] batch:230/391 lossAver:2.275850
[2023-04-03 21:33:53] [INFO] batch:240/391 lossAver:2.270882
[2023-04-03 21:33:54] [INFO] batch:250/391 lossAver:2.263882
[2023-04-03 21:33:55] [INFO] batch:260/391 lossAver:2.255160
[2023-04-03 21:33:56] [INFO] batch:270/391 lossAver:2.248071
[2023-04-03 21:33:57] [INFO] batch:280/391 lossAver:2.240085
[2023-04-03 21:33:58] [INFO] batch:290/391 lossAver:2.231054
[2023-04-03 21:33:59] [INFO] batch:300/391 lossAver:2.222468
[2023-04-03 21:34:00] [INFO] batch:310/391 lossAver:2.214442
[2023-04-03 21:34:01] [INFO] batch:320/391 lossAver:2.205547
[2023-04-03 21:34:02] [INFO] batch:330/391 lossAver:2.196905
[2023-04-03 21:34:03] [INFO] batch:340/391 lossAver:2.188965
[2023-04-03 21:34:04] [INFO] batch:350/391 lossAver:2.179562
[2023-04-03 21:34:05] [INFO] batch:360/391 lossAver:2.170967
[2023-04-03 21:34:06] [INFO] batch:370/391 lossAver:2.161317
[2023-04-03 21:34:07] [INFO] batch:380/391 lossAver:2.152542
[2023-04-03 21:34:08] [INFO] batch:390/391 lossAver:2.143843
[2023-04-03 21:34:08] [INFO] lossList:[2.302417268533536, 2.142773258716554]
[2023-04-03 21:34:14] [INFO] testAcc:[0.1042, 0.338]
[2023-04-03 21:34:14] [INFO] epoch: 03 / 50
[2023-04-03 21:34:15] [INFO] batch:10/391 lossAver:1.764793
[2023-04-03 21:34:16] [INFO] batch:20/391 lossAver:1.782021
[2023-04-03 21:34:16] [INFO] batch:30/391 lossAver:1.773967
[2023-04-03 21:34:17] [INFO] batch:40/391 lossAver:1.766137
[2023-04-03 21:34:19] [INFO] batch:50/391 lossAver:1.759792
[2023-04-03 21:34:20] [INFO] batch:60/391 lossAver:1.754170
[2023-04-03 21:34:21] [INFO] batch:70/391 lossAver:1.751970
[2023-04-03 21:34:22] [INFO] batch:80/391 lossAver:1.747636
[2023-04-03 21:34:23] [INFO] batch:90/391 lossAver:1.734968
[2023-04-03 21:34:24] [INFO] batch:100/391 lossAver:1.734185
[2023-04-03 21:34:25] [INFO] batch:110/391 lossAver:1.726563
[2023-04-03 21:34:26] [INFO] batch:120/391 lossAver:1.721287
[2023-04-03 21:34:27] [INFO] batch:130/391 lossAver:1.713370
[2023-04-03 21:34:28] [INFO] batch:140/391 lossAver:1.703098
[2023-04-03 21:34:29] [INFO] batch:150/391 lossAver:1.698082
[2023-04-03 21:34:30] [INFO] batch:160/391 lossAver:1.690105
[2023-04-03 21:34:31] [INFO] batch:170/391 lossAver:1.682316
[2023-04-03 21:34:32] [INFO] batch:180/391 lossAver:1.674920
[2023-04-03 21:34:33] [INFO] batch:190/391 lossAver:1.668706
[2023-04-03 21:34:34] [INFO] batch:200/391 lossAver:1.660491
[2023-04-03 21:34:35] [INFO] batch:210/391 lossAver:1.657118
[2023-04-03 21:34:36] [INFO] batch:220/391 lossAver:1.653200
[2023-04-03 21:34:37] [INFO] batch:230/391 lossAver:1.647857
